min-dop,var-dop,min-n.valid-sat,min-ps,min-snr,var-valid-sat,var-snr,var-ps,max-n.valid-sat-changed,av-valid-sat,av-ps,av-dop,max-snr,max-cp,max-n.valid-sat,snr-av,min-hight,maxAmplitude,class
-168.935,1.78712e+07,4,0,105940,4,4,45.1179,0,-168.935,131.049,4,1.78712e+07,45.1179,45.1179,0,0,0,0,clean
-168.935,1.8752e+07,4,1,-189326,4,4,45.1179,0,-168.935,131.049,4,1.8752e+07,45.1179,45.1179,0,0,0,0,clean
-168.935,1.84936e+07,4,5,-450169,4,4,45.1179,0,-168.935,131.049,4,1.84936e+07,45.1179,45.1179,0,0,0,0,clean
-168.935,1.98681e+07,4,6,685275,4,4,45.1179,0,-168.935,131.049,4,1.98681e+07,45.1179,45.1179,0,0,0,0,clean
-186.845,1.78713e+07,4,0,107333,4,4,45.6462,0,-204.756,89.5203,4,1.78712e+07,45.1179,45.382,25.3292,30.0215,0.373582,0,clean
-186.845,1.8752e+07,4,1,-189326,4,4,45.6462,0,-204.756,89.5203,4,1.8752e+07,45.1179,45.382,25.3292,48.6838,0.373582,0,clean
-186.845,1.84935e+07,4,5,-450169,4,4,45.6462,0,-204.756,89.5203,4,1.84934e+07,45.1179,45.382,25.3292,118.507,0.373582,0,clean
-186.845,1.98682e+07,4,6,694087,4,4,45.6462,0,-204.756,89.5203,4,1.98681e+07,45.1179,45.382,25.3292,187.521,0.373582,0,clean
-197.961,1.78713e+07,4,0,108726,4,4,45.7062,0,-220.193,-17.2897,4,1.78712e+07,45.1179,45.4901,37.1883,59.9672,0.457835,0,clean
-197.961,1.8752e+07,4,1,-189326,4,4,45.7062,0,-220.193,-17.2897,4,1.87519e+07,45.1179,45.4901,37.1883,102.143,0.457835,0,clean
-197.961,1.84934e+07,4,5,-450169,4,4,45.7062,0,-220.193,-17.2897,4,1.84932e+07,45.1179,45.4901,37.1883,245.131,0.457835,0,clean
-197.961,1.98683e+07,4,6,702900,4,4,45.7062,0,-220.193,-17.2897,4,1.98681e+07,45.1179,45.4901,37.1883,374.586,0.457835,0,clean
-203.431,1.78713e+07,4,0,110121,4,4,45.7062,0,-220.193,-17.2897,4,1.78712e+07,44.3358,45.2015,41.7371,95.0324,1.09946,0,clean
-203.431,1.87519e+07,4,1,-189326,4,4,45.7062,0,-220.193,-17.2897,4,1.87518e+07,44.3358,45.2015,41.7371,160.832,1.09946,0,clean
-203.431,1.84933e+07,4,5,-450169,4,4,45.7062,0,-220.193,-17.2897,4,1.84931e+07,44.3358,45.2015,41.7371,389.875,1.09946,0,clean
-203.431,1.98685e+07,4,6,711713,4,4,45.7062,0,-220.193,-17.2897,4,1.98681e+07,44.3358,45.2015,41.7371,594.577,1.09946,0,clean
-207.401,1.78713e+07,4,0,111517,4,4,45.8485,0,-223.281,-24.1512,4,1.78712e+07,44.3358,45.3309,45.3563,135.656,1.24247,0,clean
-207.401,1.87519e+07,4,1,-189326,4,4,45.8485,0,-223.281,-24.1512,4,1.87518e+07,44.3358,45.3309,45.3563,227.497,1.24247,0,clean
-207.401,1.84932e+07,4,5,-450169,4,4,45.8485,0,-223.281,-24.1512,4,1.84929e+07,44.3358,45.3309,45.3563,550.852,1.24247,0,clean
-207.401,1.98686e+07,4,6,720526,4,4,45.8485,0,-223.281,-24.1512,4,1.98681e+07,44.3358,45.3309,45.3563,841.785,1.24247,0,clean
-210.038,1.78713e+07,4,0,112913,4,4,45.8485,0,-223.281,-24.1512,4,1.78712e+07,44.3358,45.3416,47.601,176.819,1.24385,0,clean
-210.038,1.87519e+07,4,1,-189326,4,4,45.8485,0,-223.281,-24.1512,4,1.87517e+07,44.3358,45.3416,47.601,300.284,1.24385,0,clean
-210.038,1.84931e+07,4,5,-450169,4,4,45.8485,0,-223.281,-24.1512,4,1.84927e+07,44.3358,45.3416,47.601,728.232,1.24385,0,clean
-210.038,1.98687e+07,4,6,729340,4,4,45.8485,0,-223.281,-24.1512,4,1.98681e+07,44.3358,45.3416,47.601,1114.72,1.24385,0,clean
-211.897,1.78714e+07,4,0,114311,4,4,45.8485,0,-223.281,-24.1512,4,1.78712e+07,44.3358,45.2869,49.1019,225.156,1.29346,0,clean
-211.897,1.87518e+07,4,1,-189326,4,4,45.8485,0,-223.281,-24.1512,4,1.87516e+07,44.3358,45.2869,49.1019,379.996,1.29346,0,clean
-211.897,1.84931e+07,4,5,-450169,4,4,45.8485,0,-223.281,-24.1512,4,1.84925e+07,44.3358,45.2869,49.1019,919.759,1.29346,0,clean
-211.897,1.98689e+07,4,6,738154,4,4,45.8485,0,-223.281,-24.1512,4,1.98681e+07,44.3358,45.2869,49.1019,1409.94,1.29346,0,clean
-213.5,1.78714e+07,4,0,115709,4,4,45.8485,0,-224.719,-24.1512,4,1.78712e+07,44.3358,45.2787,50.5455,274.961,1.29489,0,clean
-213.5,1.87518e+07,4,1,-189326,4,4,45.8485,0,-224.719,-24.1512,4,1.87515e+07,44.3358,45.2787,50.5455,467.325,1.29489,0,clean
-213.5,1.8493e+07,4,5,-450169,4,4,45.8485,0,-224.719,-24.1512,4,1.84924e+07,44.3358,45.2787,50.5455,1126.39,1.29489,0,clean
-213.5,1.9869e+07,4,6,746968,4,4,45.8485,0,-224.719,-24.1512,4,1.98681e+07,44.3358,45.2787,50.5455,1727.5,1.29489,0,clean
-214.96,1.78714e+07,4,0,117108,4,4,45.9782,0,-226.64,-24.1512,4,1.78712e+07,44.3358,45.3564,52.0415,328.552,1.45315,0,clean
-214.96,1.87518e+07,4,1,-189326,4,4,45.9782,0,-226.64,-24.1512,4,1.87515e+07,44.3358,45.3564,52.0415,558.434,1.45315,0,clean
-214.96,1.84929e+07,4,5,-450169,4,4,45.9782,0,-226.64,-24.1512,4,1.84922e+07,44.3358,45.3564,52.0415,1346.54,1.45315,0,clean
-214.96,1.98691e+07,4,6,755783,4,4,45.9782,0,-226.64,-24.1512,4,1.98681e+07,44.3358,45.3564,52.0415,2065.43,1.45315,0,clean
-215.778,1.78714e+07,4,0,118509,4,4,45.9782,0,-226.64,-24.1512,4,1.78712e+07,44.3358,45.2933,52.6164,385.237,1.57193,0,clean
-215.778,1.87517e+07,4,1,-189326,4,4,45.9782,0,-226.64,-24.1512,4,1.87514e+07,44.3358,45.2933,52.6164,652.82,1.57193,0,clean
