min-dop,var-dop,min-n.valid-sat,min-ps,min-snr,var-valid-sat,var-snr,var-ps,max-n.valid-sat-changed,av-valid-sat,av-ps,av-dop,max-snr,max-cp,max-n.valid-sat,snr-av,min-hight,maxAmplitude,class
96.6564,1.78985e+07,6,0,183491,6,6,43.7884,0,96.6564,187.665,6,1.78985e+07,43.7884,43.7884,0,0,0,0,spoofed
96.6564,1.87725e+07,6,1,-315337,6,6,43.7884,0,96.6564,187.665,6,1.87725e+07,43.7884,43.7884,0,0,0,0,spoofed
96.6564,1.97106e+07,6,2,219596,6,6,43.7884,0,96.6564,187.665,6,1.97106e+07,43.7884,43.7884,0,0,0,0,spoofed
96.6564,2.04634e+07,6,3,-768661,6,6,43.7884,0,96.6564,187.665,6,2.04634e+07,43.7884,43.7884,0,0,0,0,spoofed
96.6564,1.85079e+07,6,5,-759061,6,6,43.7884,0,96.6564,187.665,6,1.85079e+07,43.7884,43.7884,0,0,0,0,spoofed
96.6564,1.99088e+07,6,6,1.16228e+06,6,6,43.7884,0,96.6564,187.665,6,1.99088e+07,43.7884,43.7884,0,0,0,0,spoofed
103.155,1.78986e+07,6,0,184943,6,6,44.1843,0,96.6564,4.20133,6,1.78985e+07,43.7884,43.9863,9.18975,32.776,0.279927,0,spoofed
103.155,1.87725e+07,6,1,-315337,6,6,44.1843,0,96.6564,4.20133,6,1.87724e+07,43.7884,43.9863,9.18975,44.8301,0.279927,0,spoofed
103.155,1.97106e+07,6,2,221325,6,6,44.1843,0,96.6564,4.20133,6,1.97106e+07,43.7884,43.9863,9.18975,37.6532,0.279927,0,spoofed
103.155,2.04634e+07,6,3,-768661,6,6,44.1843,0,96.6564,4.20133,6,2.04633e+07,43.7884,43.9863,9.18975,122.904,0.279927,0,spoofed
103.155,1.85078e+07,6,5,-759061,6,6,44.1843,0,96.6564,4.20133,6,1.85077e+07,43.7884,43.9863,9.18975,121.4,0.279927,0,spoofed
103.155,1.9909e+07,6,6,1.17111e+06,6,6,44.1843,0,96.6564,4.20133,6,1.99088e+07,43.7884,43.9863,9.18975,191.425,0.279927,0,spoofed
105.183,1.78986e+07,6,0,186396,6,6,44.1843,0,96.6564,-27.4438,6,1.78985e+07,43.4551,43.8093,10.4465,63.8037,0.516206,0,spoofed
105.183,1.87724e+07,6,1,-315337,6,6,44.1843,0,96.6564,-27.4438,6,1.87724e+07,43.4551,43.8093,10.4465,98.7021,0.516206,0,spoofed
105.183,1.97106e+07,6,2,223054,6,6,44.1843,0,96.6564,-27.4438,6,1.97106e+07,43.4551,43.8093,10.4465,74.1847,0.516206,0,spoofed
105.183,2.04633e+07,6,3,-768661,6,6,44.1843,0,96.6564,-27.4438,6,2.04631e+07,43.4551,43.8093,10.4465,254.409,0.516206,0,spoofed
105.183,1.85077e+07,6,5,-759061,6,6,44.1843,0,96.6564,-27.4438,6,1.85075e+07,43.4551,43.8093,10.4465,242.244,0.516206,0,spoofed
105.183,1.99091e+07,6,6,1.17995e+06,6,6,44.1843,0,96.6564,-27.4438,6,1.99088e+07,43.4551,43.8093,10.4465,379.771,0.516206,0,spoofed
106.458,1.78986e+07,6,0,187849,6,6,44.1843,0,96.6564,-27.4438,6,1.78985e+07,43.4551,43.7358,11.3428,97.3857,0.575603,0,spoofed
106.458,1.87724e+07,6,1,-315337,6,6,44.1843,0,96.6564,-27.4438,6,1.87723e+07,43.4551,43.7358,11.3428,154.109,0.575603,0,spoofed
106.458,1.97106e+07,6,2,224784,6,6,44.1843,0,96.6564,-27.4438,6,1.97106e+07,43.4551,43.7358,11.3428,122.713,0.575603,0,spoofed
106.458,2.04632e+07,6,3,-768661,6,6,44.1843,0,96.6564,-27.4438,6,2.04629e+07,43.4551,43.7358,11.3428,399.297,0.575603,0,spoofed
106.458,1.85076e+07,6,5,-759061,6,6,44.1843,0,96.6564,-27.4438,6,1.85074e+07,43.4551,43.7358,11.3428,381.856,0.575603,0,spoofed
106.458,1.99092e+07,6,6,1.18878e+06,6,6,44.1843,0,96.6564,-27.4438,6,1.99088e+07,43.4551,43.7358,11.3428,600.315,0.575603,0,spoofed
107.792,1.78986e+07,6,0,189304,6,6,44.1843,0,96.6564,-27.4438,6,1.78985e+07,43.4551,43.7307,12.8162,139.744,0.576044,0,spoofed
107.792,1.87724e+07,6,1,-315337,6,6,44.1843,0,96.6564,-27.4438,6,1.87722e+07,43.4551,43.7307,12.8162,219.47,0.576044,0,spoofed
107.792,1.97107e+07,6,2,226515,6,6,44.1843,0,96.6564,-27.4438,6,1.97106e+07,43.4551,43.7307,12.8162,172.344,0.576044,0,spoofed
107.792,2.04631e+07,6,3,-768661,6,6,44.1843,0,96.6564,-27.4438,6,2.04627e+07,43.4551,43.7307,12.8162,561.302,0.576044,0,spoofed
107.792,1.85075e+07,6,5,-759061,6,6,44.1843,0,96.6564,-27.4438,6,1.85072e+07,43.4551,43.7307,12.8162,541.939,0.576044,0,spoofed
107.792,1.99094e+07,6,6,1.19761e+06,6,6,44.1843,0,96.6564,-27.4438,6,1.99088e+07,43.4551,43.7307,12.8162,847.47,0.576044,0,spoofed
108.17,1.78987e+07,6,0,190759,6,6,44.5735,0,96.6564,-27.4438,6,1.78985e+07,43.4551,43.8712,12.982,185.222,0.961137,0,spoofed
108.17,1.87723e+07,6,1,-315337,6,6,44.5735,0,96.6564,-27.4438,6,1.87721e+07,43.4551,43.8712,12.982,291.549,0.961137,0,spoofed
