min-dop,var-dop,min-n.valid-sat,min-ps,min-snr,var-valid-sat,var-snr,var-ps,max-n.valid-sat-changed,av-valid-sat,av-ps,av-dop,max-snr,max-cp,max-n.valid-sat,snr-av,min-hight,maxAmplitude,class
72.9038,1.79138e+07,6.60067,0,1.24857e+06,7,6,49.6349,0,18.3144,-37.6512,6,1.78985e+07,37.2822,46.2194,534.142,230193,33.4208,12.0067,spoofed
47.8787,1.89152e+07,6.5,3,0,7,4,46.8004,0,-246.068,-120.097,4,0,41.4168,43.3556,2464.34,1.52051e+08,22.4602,23.8747,clean
195.257,2.05876e+07,5.69675,3,-424200,7,4,45.0553,0,53.101,-61.5326,4,2.05633e+07,35.1891,42.875,3011.97,234466,17.2822,15.828,spoofed
55.7011,1.8633e+07,6.39914,3,0,7,4,46.8004,0,-246.068,-120.097,4,0,41.4168,43.4555,2407.96,1.50957e+08,20.7255,22.9704,clean
80.5361,1.87631e+07,6.15493,1,-315337,7,6,49.6349,0,18.3144,-37.6512,6,1.87542e+07,37.2822,45.7084,446.903,89580.4,29.627,6.09779,spoofed
-220.29,1.98709e+07,4,6,870084,4,4,46.8004,0,-228.299,-94.1031,4,1.98681e+07,43.5582,44.9288,56.7936,7946.23,3.78271,0,clean
-221.69,1.84914e+07,4,5,-449967,4,4,46.8004,0,-230.318,-120.097,4,1.84892e+07,43.5582,44.8998,59.2566,6645.98,3.98699,0,clean
1.66084,1.84274e+07,5.84791,5,-450246,6,4,46.9448,0,-246.069,-120.532,4,1.83635e+07,39.5094,42.3408,2390.05,1.05542e+06,35.1398,14.8912,spoofed
57.98,1.75818e+07,6.24731,2,1.20976e+06,7,4,46.8004,0,-246.068,-120.097,4,0,41.4512,43.577,2401.1,1.44159e+08,18.8312,21.5377,clean
75.4779,1.84617e+07,6.56522,5,-759061,7,6,49.6349,0,18.3144,-37.6512,6,1.84166e+07,37.2822,46.2095,489.296,618947,33.1878,11.647,spoofed
48.829,1.88917e+07,6.49153,3,0,7,4,46.8004,0,-246.068,-120.097,4,0,41.4168,43.3678,2455.22,1.51961e+08,22.1802,23.8,clean
57.4383,1.84486e+07,6.20605,5,-449967,7,4,46.8004,0,-246.068,-120.097,4,1.84047e+07,41.4512,43.6004,2400.33,591566,18.5922,21.1315,clean
49.6889,1.36739e+07,6.48339,4,0,7,4,46.8004,0,-246.068,-120.097,4,0,41.4168,43.3782,2447.36,2.98153e+08,21.9922,23.7282,clean
41.494,1.99174e+07,5.86179,6,3.95025e+06,7,4,46.8004,0,-246.068,-120.097,4,1.98681e+07,41.8223,43.8672,2328.66,549725,14.8386,17.3767,clean
-5.34798,1.8946e+07,5.8603,3,0,6,4,46.9448,0,-246.069,-120.532,4,0,39.5094,42.3051,2488.28,1.5217e+08,35.6063,14.9411,spoofed
77.8735,1.87572e+07,6.49896,1,-315337,7,6,49.6349,0,18.3144,-37.6512,6,1.87433e+07,37.2822,46.1477,464.609,184302,32.6664,10.943,spoofed
65.4668,2.04017e+07,6.66054,3,-768661,7,6,49.6349,0,6.67469,-37.6512,6,2.034e+07,37.2822,46.2605,717.652,946826,34.0101,12.5908,spoofed
54.3149,1.27779e+07,6.42544,4,0,7,4,46.8004,0,-246.068,-120.097,4,0,41.4168,43.4347,2414.47,2.88231e+08,21.0784,23.2096,clean
86.2396,1.99358e+07,6,6,2.94641e+06,6,6,49.6349,0,39.5128,-37.6512,6,1.99088e+07,37.2822,45.7573,292.295,222701,28.6754,0,spoofed
57.3663,1.78836e+07,6.20152,0,970258,7,4,46.8004,0,-246.068,-120.097,4,1.78712e+07,41.4512,43.5988,2400.23,173506,18.5842,21.0865,clean
-12.5551,1.84786e+07,5.31034,5,-450246,6,4,46.9448,0,-246.069,-120.532,4,1.84638e+07,42.1092,44.0886,2074.84,114203,10.109,12.5396,spoofed
80.4588,1.80517e+07,5.96699,0,1.3663e+06,7,4,45.0553,0,-72.3267,-61.5326,4,1.80339e+07,35.1891,42.1677,3943.17,298781,26.547,18.3087,spoofed
96.9824,1.88938e+07,5.95164,1,-176690,7,4,45.0553,0,-29.1653,-61.5326,4,1.88752e+07,35.1891,42.2292,3743.42,289619,25.663,18.097,spoofed
55.3214,1.78825e+07,6.12682,0,885687,7,4,46.8004,0,-246.068,-120.097,4,1.78712e+07,41.7833,43.6743,2395.04,149686,17.416,20.3289,clean
156.2,2.0579e+07,5.776,3,-424200,7,4,45.0553,0,23.6792,-61.5326,4,2.05461e+07,35.1891,42.6228,3270.7,369139,19.6238,16.037,spoofed
62.3585,2.00094e+07,6.67742,6,7.83306e+06,7,6,49.6349,0,-3.88758,-37.6512,6,1.99088e+07,37.2822,46.2706,808.073,1.59433e+06,34.2279,12.7507,spoofed
-208.569,1.78726e+07,4.125,0,195510,6,4,46.8004,0,-246.068,-120.097,4,1.78712e+07,43.2289,44.6867,637.34,6354.04,5.60663,3.87298,clean
22.536,1.84484e+07,5.77444,5,-450246,6,4,46.9448,0,-246.069,-120.532,4,1.84044e+07,39.5094,42.5532,2212.5,594703,32.7286,14.5922,spoofed
-168.921,1.84936e+07,4,5,-449967,4,4,45.5443,0,-168.921,130.657,4,1.84936e+07,45.5443,45.5443,0,0,0,0,clean
77.9552,2.04222e+07,6.49153,3,-768661,7,6,49.6349,0,18.3144,-37.6512,6,2.03812e+07,37.2822,46.1417,464.339,515930,32.6271,10.8612,spoofed
26.2323,1.99167e+07,5.67033,6,3.90596e+06,6,4,46.9448,0,-246.069,-120.532,4,1.98681e+07,40.1198,43.193,2202.25,538942,23.0867,14.1577,spoofed
