min-dop,var-dop,min-n.valid-sat,min-ps,min-snr,var-valid-sat,var-snr,var-ps,max-n.valid-sat-changed,av-valid-sat,av-ps,av-dop,max-snr,max-cp,max-n.valid-sat,snr-av,min-hight,maxAmplitude,class
57.8396,1.99414e+07,6.23218,6,5.54543e+06,7,4,46.2957,0,-246.068,-120.608,4,1.98681e+07,41.5506,43.5934,2400.98,995371,18.5981,21.3896,clean
51.6137,1.87374e+07,6.0367,1,-189326,7,4,46.2957,0,-246.068,-120.608,4,1.87237e+07,41.7961,43.7719,2381.39,171151,15.891,19.3756,clean
100.524,1.87684e+07,6,1,-315337,6,6,49.6349,0,83.2238,-37.6512,6,1.87643e+07,37.2822,45.0628,102.018,26169.4,23.1853,0,spoofed
52.6482,1.8159e+07,6.45026,2,1.68812e+06,7,4,46.2957,0,-246.068,-120.608,4,0,41.5122,43.4129,2424.33,1.46531e+08,21.3569,23.4331,clean
68.7336,1.79156e+07,6.63855,0,1.37862e+06,7,6,49.6349,0,17.5826,-37.6512,6,1.78985e+07,37.2822,46.2494,630.616,271276,33.8162,12.3795,spoofed
81.1602,1.97202e+07,6.29825,2,879596,7,6,49.6349,0,18.3144,-37.6512,6,1.97106e+07,37.2822,45.9017,448.891,106903,30.956,8.46043,spoofed
33.1524,2.20709e+06,5.74251,4,0,7,4,46.2957,0,-246.068,-120.608,4,0,41.8507,43.9985,2275.36,1.19816e+08,12.709,15.87,clean
97.962,1.88942e+07,5.93164,1,-176690,7,4,45.0553,0,-29.1653,-61.5326,4,1.88758e+07,35.1891,42.2612,3739.06,282410,24.9262,17.7217,spoofed
169.612,2.05823e+07,5.75074,3,-424200,7,4,45.0553,0,38.9214,-61.5326,4,2.05527e+07,35.1891,42.6931,3177.68,314537,18.999,15.9707,spoofed
15.7255,1.5076e+07,5.53125,2,584540,6,4,46.2957,0,-246.068,-120.608,4,0,42.5506,44.1184,2177.86,1.33461e+08,10.1984,13.5554,clean
26.6931,1.84608e+07,5.6875,5,-450246,6,4,46.9448,0,-246.069,-120.532,4,1.84286e+07,39.5605,43.0548,2202.69,368759,25.9348,14.2302,spoofed
65.5416,1.87508e+07,6.66006,1,-315337,7,6,49.6349,0,6.67469,-37.6512,6,1.87317e+07,37.2822,46.2596,715.703,311812,34.0034,12.5862,spoofed
81.1042,1.99497e+07,6.21311,6,3.87283e+06,7,6,49.6349,0,18.3144,-37.6512,6,1.99088e+07,37.2822,45.7877,448.516,414981,30.1308,7.15175,spoofed
110.054,2.05638e+07,5.84672,3,-424200,7,4,45.0553,0,-16.6751,-61.5326,4,2.05157e+07,35.1891,42.4084,3641.69,651515,22.098,16.2211,spoofed
-22.1725,1.78747e+07,5.24528,0,337967,6,4,46.9448,0,-246.069,-120.532,4,1.78712e+07,42.7054,44.1773,2033.29,25697,9.10315,12.2243,spoofed
6.42949,1.42708e+07,5.44954,2,512313,6,4,46.9448,0,-246.069,-120.532,4,0,42.1092,43.9277,2148.69,1.29844e+08,11.5755,13.1888,spoofed
26.7244,1.67848e+07,5.70443,2,883823,6,4,46.9448,0,-246.069,-120.532,4,0,39.5258,42.9353,2202.82,1.40837e+08,27.911,14.3015,spoofed
56.8189,1.99577e+07,6.37031,6,6.626e+06,7,4,46.2957,0,-246.068,-120.608,4,1.98681e+07,41.5122,43.489,2404.16,1.34312e+06,20.278,22.7053,clean
49.0226,1.78918e+07,6.48967,0,1.5779e+06,7,4,46.2957,0,-246.068,-120.608,4,1.78712e+07,41.5122,43.3666,2453.54,369706,22.2119,23.7837,clean
73.9856,1.97277e+07,6.58763,2,1.41087e+06,7,6,49.6349,0,18.3144,-37.6512,6,1.97106e+07,37.2822,46.211,513.471,253174,33.3056,11.8756,spoofed
